customer_id,signup_date,acquisition_channel,state,subscription_tier,customer_segment
1,2025-05-10,Paid Search,NY,Essential,Budget Builder
2,2023-05-02,Referral,NJ,Plus,Investor
3,2024-04-11,Referral,TX,Essential,Budget Builder
4,2023-11-27,Partner,FL,Essential,Budget Builder
5,2023-03-29,Paid Search,NJ,Plus,Family Planner
6,2025-05-21,Partner,NY,Plus,Family Planner
7,2023-05-11,Organic,IL,Plus,Credit Improver
8,2025-02-08,Referral,FL,Premium,Budget Builder
9,2023-12-10,Paid Search,FL,Premium,Family Planner
10,2025-03-16,Referral,IL,Essential,Credit Improver
11,2024-01-21,Paid Search,FL,Plus,Investor
12,2025-08-13,Paid Search,IL,Premium,Investor
13,2023-10-04,Paid Search,NY,Plus,Investor
14,2024-04-04,Social,FL,Premium,Family Planner
15,2023-01-22,Referral,TX,Plus,Investor
16,2023-09-10,Referral,FL,Premium,Investor
17,2025-01-17,Referral,IL,Essential,Family Planner
18,2025-05-06,Referral,GA,Essential,Family Planner
19,2024-04-19,Paid Search,GA,Essential,Budget Builder
20,2024-05-25,Organic,IL,Plus,Investor
21,2024-11-30,Paid Search,IL,Essential,Budget Builder
22,2025-09-02,Organic,TX,Essential,Budget Builder
23,2023-07-09,Paid Search,NY,Plus,Investor
24,2025-08-15,Referral,IL,Essential,Budget Builder
25,2024-11-17,Organic,IL,Essential,Investor
26,2025-08-15,Organic,NY,Essential,Budget Builder
27,2024-07-16,Social,GA,Essential,Budget Builder
28,2025-04-11,Social,NY,Essential,Budget Builder
29,2024-10-08,Paid Search,FL,Essential,Family Planner
30,2023-01-21,Referral,NJ,Essential,Credit Improver
31,2025-04-20,Organic,NJ,Essential,Credit Improver
32,2023-06-16,Paid Search,FL,Essential,Family Planner
33,2024-01-23,Partner,CA,Plus,Investor
34,2024-08-23,Partner,CA,Essential,Credit Improver
35,2023-11-12,Paid Search,TX,Plus,Investor
36,2023-01-14,Paid Search,NJ,Essential,Budget Builder
37,2023-08-30,Referral,FL,Premium,Budget Builder
38,2025-02-15,Referral,IL,Essential,Budget Builder
39,2024-07-18,Social,NY,Essential,Credit Improver
40,2025-06-16,Referral,NJ,Essential,Budget Builder
41,2023-04-02,Organic,FL,Essential,Credit Improver
42,2025-08-13,Organic,GA,Essential,Family Planner
43,2024-05-23,Paid Search,GA,Plus,Investor
44,2025-02-14,Organic,CA,Essential,Investor
45,2023-02-04,Organic,GA,Essential,Credit Improver
46,2023-07-25,Paid Search,GA,Plus,Credit Improver
47,2025-10-22,Paid Search,CA,Plus,Credit Improver
48,2025-10-18,Social,CA,Premium,Credit Improver
49,2024-07-19,Paid Search,GA,Essential,Family Planner
50,2024-12-03,Partner,TX,Essential,Budget Builder
51,2024-02-06,Paid Search,IL,Plus,Investor
52,2024-12-30,Partner,FL,Plus,Investor
53,2023-06-11,Paid Search,FL,Plus,Budget Builder
54,2023-07-21,Organic,GA,Essential,Credit Improver
55,2025-09-22,Paid Search,IL,Plus,Investor
56,2023-09-27,Organic,NY,Essential,Family Planner
57,2025-03-26,Paid Search,IL,Essential,Family Planner
58,2024-03-31,Referral,FL,Plus,Family Planner
59,2025-10-13,Paid Search,NY,Essential,Investor
60,2023-10-23,Social,GA,Essential,Investor
61,2024-12-20,Social,IL,Essential,Investor
62,2023-12-04,Referral,CA,Plus,Budget Builder
63,2025-05-28,Partner,NJ,Essential,Budget Builder
64,2025-03-02,Organic,IL,Essential,Credit Improver
65,2023-08-05,Organic,CA,Essential,Budget Builder
66,2025-02-02,Paid Search,FL,Essential,Credit Improver
67,2023-07-07,Paid Search,NY,Premium,Family Planner
68,2024-01-15,Referral,CA,Plus,Budget Builder
69,2024-05-07,Partner,IL,Essential,Credit Improver
70,2023-01-15,Paid Search,IL,Essential,Credit Improver
71,2023-03-06,Paid Search,FL,Essential,Family Planner
72,2024-06-04,Organic,FL,Essential,Budget Builder
73,2024-10-09,Paid Search,NY,Essential,Investor
74,2024-08-15,Organic,GA,Premium,Credit Improver
75,2024-01-27,Paid Search,TX,Essential,Investor
76,2024-02-23,Paid Search,NJ,Premium,Budget Builder
77,2023-10-16,Partner,IL,Plus,Family Planner
78,2024-01-14,Organic,TX,Premium,Investor
79,2023-08-19,Paid Search,CA,Plus,Family Planner
80,2025-10-14,Social,TX,Essential,Family Planner
